"Parent","Child"
"Caroline","Barbarey"
"Caroline","Barbarie"
"Caroline","Barbary"
"Caroline","Barbari"
"Charles","Calley"
"Charles","Callie"
"Charles","Cally"
"Charles","Calli"
"Christiana","Lolley"
"Christiana","Lollie"
"Christiana","Lolly"
"Christiana","Lolli"
"Dorothy","Kerstey"
"Dorothy","Kerstie"
"Dorothy","Kersty"
"Dorothy","Kersti"
"Edmund","Dodey"
"Edmund","Dodie"
"Edmund","Dody"
"Edmund","Dodi"
"Eleanor","Teddey"
"Eleanor","Teddie"
"Eleanor","Teddy"
"Eleanor","Teddi"
"Elsie","Libbey"
"Elsie","Libbie"
"Elsie","Libby"
"Elsie","Libbi"
"Lavinia","Katey"
"Lavinia","Katie"
"Lavinia","Katy"
"Lavinia","Kati"
"Luann","Lydey"
"Luann","Lydie"
"Luann","Lydy"
"Luann","Lydi"
"Mary","Molley"
"Mary","Mollie"
"Mary","Molly"
"Mary","Molli"
"Robert","Rickey"
"Robert","Rickie"
"Robert","Ricky"
"Robert","Ricki"
"Selina","Sukey"
"Selina","Sukie"
"Selina","Suky"
"Selina","Suki"
"Theodosia","Vessey"
"Theodosia","Vessie"
"Theodosia","Vessy"
"Theodosia","Vessi"
"Veronica","Tracey"
"Veronica","Tracie"
"Veronica","Tracy"
"Veronica","Traci"
"Virginia","Vickey"
"Virginia","Vickie"
"Virginia","Vicky"
"Virginia","Vicki"
"Winfield","Wiley"
"Winfield","Wilie"
"Winfield","Wily"
"Winfield","Wili"
"Adelphia","Heidey"
"Adelphia","Heidie"
"Adelphia","Heidy"
"Adelphia","Heidi"
"Amelia","Aley"
"Amelia","Alie"
"Amelia","Aly"
"Amelia","Ali"
"Anna","Melley"
"Anna","Mellie"
"Anna","Melly"
"Anna","Melli"
"Arabella","Nancey"
"Arabella","Nancie"
"Arabella","Nancy"
"Arabella","Nanci"
"Bedelia","Barberey"
"Bedelia","Barberie"
"Bedelia","Barbery"
"Bedelia","Barberi"
"Elizabeth","Nelley"
"Elizabeth","Nellie"
"Elizabeth","Nelly"
"Elizabeth","Nelli"
"Lavinia","Kathey"
"Lavinia","Kathie"
"Lavinia","Kathy"
"Lavinia","Kathi"
"Mehitabel","Mercey"
"Mehitabel","Mercie"
"Mehitabel","Mercy"
"Mehitabel","Merci"
"Sylvester","Sukey"
"Sylvester","Sukie"
"Sylvester","Suky"
"Sylvester","Suki"
"Tryphena","Trissey"
"Tryphena","Trissie"
"Tryphena","Trissy"
"Tryphena","Trissi"
"Wilber","Vergey"
"Wilber","Vergie"
"Wilber","Vergy"
"Wilber","Vergi"
"Amelia","Eley"
"Amelia","Elie"
"Amelia","Ely"
"Amelia","Eli"
"Hepsabah","Nelley"
"Hepsabah","Nellie"
"Hepsabah","Nelly"
"Hepsabah","Nelli"
"Jane","Tibbey"
"Jane","Tibbie"
"Jane","Tibby"
"Jane","Tibbi"
"Luann","Lyddey"
"Luann","Lyddie"
"Luann","Lyddy"
"Luann","Lyddi"
"Lousie","Anney"
"Lousie","Annie"
"Lousie","Anny"
"Lousie","Anni"
"Obadiah","Minney"
"Obadiah","Minnie"
"Obadiah","Minny"
"Obadiah","Minni"
"Sylvester","Suzey"
"Sylvester","Suzie"
"Sylvester","Suzy"
"Sylvester","Suzi"
"Elizabeth","Elley"
"Elizabeth","Ellie"
"Elizabeth","Elly"
"Elizabeth","Elli"
"Katherine","Jackey"
"Katherine","Jackie"
"Katherine","Jacky"
"Katherine","Jacki"
"Lousie","Liddey"
"Lousie","Liddie"
"Lousie","Liddy"
"Lousie","Liddi"
"Maryanne","Mitzey"
"Maryanne","Mitzie"
"Maryanne","Mitzy"
"Maryanne","Mitzi"
"Roger","Robbey"
"Roger","Robbie"
"Roger","Robby"
"Roger","Robbi"
"Alice","Cassey"
"Alice","Cassie"
"Alice","Cassy"
"Alice","Cassi"
"Christiana","Kerey"
"Christiana","Kerie"
"Christiana","Kery"
"Christiana","Keri"
"Clarissa","Kristey"
"Clarissa","Kristie"
"Clarissa","Kristy"
"Clarissa","Kristi"
"Emeline","Lizzey"
"Emeline","Lizzie"
"Emeline","Lizzy"
"Emeline","Lizzi"
"Genevieve","Emiley"
"Genevieve","Emilie"
"Genevieve","Emily"
"Genevieve","Emili"
"Joanna","Jincey"
"Joanna","Jincie"
"Joanna","Jincy"
"Joanna","Jinci"
"Katherine","Johnney"
"Katherine","Johnnie"
"Katherine","Johnny"
"Katherine","Johnni"
"Marianna","Peggey"
"Marianna","Peggie"
"Marianna","Peggy"
"Marianna","Peggi"
"Maryanne","Molley"
"Maryanne","Mollie"
"Maryanne","Molly"
"Maryanne","Molli"
"Christiana","Karey"
"Christiana","Karie"
"Christiana","Kary"
"Christiana","Kari"
"Jane","Nibbey"
"Jane","Nibbie"
"Jane","Nibby"
"Jane","Nibbi"
"John","Jinsey"
"John","Jinsie"
"John","Jinsy"
"John","Jinsi"
"Melinda","Polley"
"Melinda","Pollie"
"Melinda","Polly"
"Melinda","Polli"
"Helena","Bitsey"
"Helena","Bitsie"
"Helena","Bitsy"
"Helena","Bitsi"
"Katherine","Nettey"
"Katherine","Nettie"
"Katherine","Netty"
"Katherine","Netti"
"Rosalyn","Mimey"
"Rosalyn","Mimie"
"Rosalyn","Mimy"
"Rosalyn","Mimi"
"Emeline","Liddey"
"Emeline","Liddie"
"Emeline","Liddy"
"Emeline","Liddi"
"Linda","Cassey"
"Linda","Cassie"
"Linda","Cassy"
"Linda","Cassi"
"Mary","Margerey"
"Mary","Margerie"
"Mary","Margery"
"Mary","Margeri"
"Eleanor","Rosey"
"Eleanor","Rosie"
"Eleanor","Rosy"
"Eleanor","Rosi"
"Mary","Marjorey"
"Mary","Marjorie"
"Mary","Marjory"
"Mary","Marjori"
"Mary","Margey"
"Mary","Margie"
"Mary","Margy"
"Mary","Margi"
"Jane","Betsey"
"Jane","Betsie"
"Jane","Betsy"
"Jane","Betsi"
"Elizabeth","Roxey"
"Elizabeth","Roxie"
"Elizabeth","Roxy"
"Elizabeth","Roxi"
"Jane","Baisey"
"Jane","Baisie"
"Jane","Baisy"
"Jane","Baisi"
"Mary","Baissey"
"Mary","Baissie"
"Mary","Baissy"
"Mary","Baissi"
"Rosalyn","Marey"
"Rosalyn","Marie"
"Rosalyn","Mary"
"Rosalyn","Mari"
